CATEGORY	TICKER	DATE	OPEN	CLOSE
Crypto	BTC-USD	2020-09-26	10690.53	10750
Crypto	ETH-USD	2020-09-27	354.01	357.55
Crypto	BTC-USD	2020-09-27	10751	10778.2
Crypto	ETH-USD	2020-09-28	358.56	354.57459566
Crypto	BTC-USD	2020-09-28	10804	10714
Crypto	ETH-USD	2020-09-29	354.45595331	359.9
Crypto	BTC-USD	2020-09-29	10694.9	10842.2
Crypto	ETH-USD	2020-09-30	359.93	359.883
Crypto	BTC-USD	2020-09-30	10857	10779.63
Crypto	ETH-USD	2020-10-01	360.01	353
Crypto	BTC-USD	2020-10-01	10797	10616.1
Crypto	ETH-USD	2020-10-02	352.84	346.03
Crypto	BTC-USD	2020-10-02	10616.35	10573.12
Crypto	ETH-USD	2020-10-03	345.74	346.18
Crypto	BTC-USD	2020-10-03	10586	10551.65
Crypto	ETH-USD	2020-10-04	346.42	352.48
Crypto	BTC-USD	2020-10-04	10550.32	10671.11
Crypto	ETH-USD	2020-10-05	352.42	354.23
Crypto	BTC-USD	2020-10-05	10669	10799
Crypto	ETH-USD	2020-10-06	353.82	340.78
Crypto	BTC-USD	2020-10-06	10796.97	10601.49
Crypto	ETH-USD	2020-10-07	341.08581595	341.68
Crypto	BTC-USD	2020-10-07	10613	10670.47
Crypto	ETH-USD	2020-10-08	341.7	351.5
Crypto	BTC-USD	2020-10-08	10687.32291769	10933.09
Crypto	ETH-USD	2020-10-09	350.823	365.36
Crypto	BTC-USD	2020-10-09	10932.44	11057.07
Crypto	ETH-USD	2020-10-10	365.35	370.75
Crypto	BTC-USD	2020-10-10	11057.07	11299.5
Crypto	ETH-USD	2020-10-11	371.15	374.61
Crypto	BTC-USD	2020-10-11	11300.97	11374.01
Crypto	ETH-USD	2020-10-12	374.38	387
Crypto	BTC-USD	2020-10-12	11374.01	11529.32
Crypto	ETH-USD	2020-10-13	387.39	381.37
Crypto	BTC-USD	2020-10-13	11535.46	11428.22
Crypto	ETH-USD	2020-10-14	381.74	379.08
Crypto	BTC-USD	2020-10-14	11443	11427.7
Crypto	ETH-USD	2020-10-15	379.01	377.88
Crypto	BTC-USD	2020-10-15	11417.85	11509.34
Crypto	ETH-USD	2020-10-16	377.89	365.21
Crypto	BTC-USD	2020-10-16	11511.9497064	11328.95
Crypto	ETH-USD	2020-10-17	365.82	368.48
Crypto	BTC-USD	2020-10-17	11324.8837331	11367.89
Crypto	ETH-USD	2020-10-18	368.48	378.58
Crypto	BTC-USD	2020-10-18	11376	11506.16
Crypto	ETH-USD	2020-10-19	378.56	379.63
Crypto	BTC-USD	2020-10-19	11514.2	11749.98
Crypto	ETH-USD	2020-10-20	379.53	368.81
Crypto	BTC-USD	2020-10-20	11760.45	11923.83
Crypto	ETH-USD	2020-10-21	368.79	390.198
Crypto	BTC-USD	2020-10-21	11924.82446	12808.01
Crypto	ETH-USD	2020-10-22	391.28	414.31
Crypto	BTC-USD	2020-10-22	12802.63	12987.02
Crypto	ETH-USD	2020-10-23	414.3	409.52
Crypto	BTC-USD	2020-10-23	12988.2	12939
Crypto	ETH-USD	2020-10-24	409.58359673	412.58
Crypto	BTC-USD	2020-10-24	12930.56664423	13126.24
Crypto	ETH-USD	2020-10-25	412.54	406.09
Crypto	BTC-USD	2020-10-25	13126.34	13045
Crypto	ETH-USD	2020-10-26	405.97	392.621
Crypto	BTC-USD	2020-10-26	13041.12	13068.79
Crypto	ETH-USD	2020-10-27	393.48	403.286
Crypto	BTC-USD	2020-10-27	13068.79	13626
Crypto	ETH-USD	2020-10-28	403.22	388.186
Crypto	BTC-USD	2020-10-28	13626	13281.05
Crypto	ETH-USD	2020-10-29	388.47	387.34
Crypto	BTC-USD	2020-10-29	13281.06	13460
Crypto	ETH-USD	2020-10-30	386.9	382.77
Crypto	BTC-USD	2020-10-30	13460	13571.51
Crypto	ETH-USD	2020-10-31	382.77	386.78
Crypto	BTC-USD	2020-10-31	13555.19	13804.81
Crypto	ETH-USD	2020-11-01	386.32658693	396.611
Crypto	BTC-USD	2020-11-01	13785.26	13762
Crypto	ETH-USD	2020-11-02	396.66	383.33
Crypto	BTC-USD	2020-11-02	13762	13563.22
Crypto	ETH-USD	2020-11-03	383.09	388.42
Crypto	BTC-USD	2020-11-03	13551.75	14029.5896356
Crypto	ETH-USD	2020-11-04	388.17353075	403.18
Crypto	BTC-USD	2020-11-04	14034.35	14141.88
Crypto	ETH-USD	2020-11-05	402.78	417.19
Crypto	BTC-USD	2020-11-05	14165.86	15608.21
Crypto	ETH-USD	2020-11-06	417.04	456.65
Crypto	BTC-USD	2020-11-06	15568	15599.95
Crypto	ETH-USD	2020-11-07	456.69	435.194
Crypto	BTC-USD	2020-11-07	15573	14845
Crypto	ETH-USD	2020-11-08	435.95507314	454.61
Crypto	BTC-USD	2020-11-08	14834.09	15482.9
Crypto	ETH-USD	2020-11-09	455.09	444.81
Crypto	BTC-USD	2020-11-09	15482.89	15342.25
Crypto	ETH-USD	2020-11-10	444.84	450.89
Crypto	BTC-USD	2020-11-10	15342.1	15315.04
Crypto	ETH-USD	2020-11-11	450.89	463.81
Crypto	BTC-USD	2020-11-11	15295.01	15705.79
Crypto	ETH-USD	2020-11-12	463.81	462.98
Crypto	BTC-USD	2020-11-12	15709	16310.81
Crypto	ETH-USD	2020-11-13	462.45	477.06
Crypto	BTC-USD	2020-11-13	16308.6	16339.56
Crypto	ETH-USD	2020-11-14	477.15	461.16
Crypto	BTC-USD	2020-11-14	16308.5948109	16083.07
Crypto	ETH-USD	2020-11-15	461.21	448.401
Crypto	BTC-USD	2020-11-15	16082.01	15965
Crypto	ETH-USD	2020-11-16	448.41720943	460.85
Crypto	BTC-USD	2020-11-16	15975.49	16721.1
Crypto	ETH-USD	2020-11-17	460.87	482.308
Crypto	BTC-USD	2020-11-17	16723.8	17679.36
Crypto	ETH-USD	2020-11-18	482.76	478.96
Crypto	BTC-USD	2020-11-18	17674.53552004	17800
Crypto	ETH-USD	2020-11-19	479	471.163
Crypto	BTC-USD	2020-11-19	17784.6	17821.58
Crypto	ETH-USD	2020-11-20	471.39	510.3
Crypto	BTC-USD	2020-11-20	17821.92	18675.25
Crypto	ETH-USD	2020-11-21	510.6	553.07
Crypto	BTC-USD	2020-11-21	18677.84	18703.39
Crypto	ETH-USD	2020-11-22	553.06	560.132
Crypto	BTC-USD	2020-11-22	18659.98585506	18392
Crypto	ETH-USD	2020-11-23	558	609.26
Crypto	BTC-USD	2020-11-23	18432.6	18384.82
Crypto	ETH-USD	2020-11-24	609.25	604.822
Crypto	BTC-USD	2020-11-24	18364	19172.84
Crypto	ETH-USD	2020-11-25	605.45	569.62
Crypto	BTC-USD	2020-11-25	19172.9	18714.24
Crypto	ETH-USD	2020-11-26	569.37	521.5
Crypto	BTC-USD	2020-11-26	18726.34185792	17170
Crypto	ETH-USD	2020-11-27	520.35	519.55
Crypto	BTC-USD	2020-11-27	17213	17144.2
Crypto	ETH-USD	2020-11-28	518.438	538.14
Crypto	BTC-USD	2020-11-28	17171	17746
Crypto	ETH-USD	2020-11-29	538.09	576.22
Crypto	BTC-USD	2020-11-29	17717.54	18202.03
Crypto	ETH-USD	2020-11-30	576.37	615.99
Crypto	BTC-USD	2020-11-30	18196	19713.93
Crypto	ETH-USD	2020-12-01	616	585.27
Crypto	BTC-USD	2020-12-01	19697	18782.97
Crypto	ETH-USD	2020-12-02	585.87	597.74
Crypto	BTC-USD	2020-12-02	18807.88117914	19225.63
Crypto	ETH-USD	2020-12-03	597.88119355	616.66
Crypto	BTC-USD	2020-12-03	19222.45	19448.64
Crypto	ETH-USD	2020-12-04	615.987	567.66
Crypto	BTC-USD	2020-12-04	19449	18658.1
Crypto	ETH-USD	2020-12-05	567.6	597.29
Crypto	BTC-USD	2020-12-05	18652	19153
Crypto	ETH-USD	2020-12-06	597.29	601.294
Crypto	BTC-USD	2020-12-06	19158.96	19375.6
Crypto	ETH-USD	2020-12-07	601.97	591.65
Crypto	BTC-USD	2020-12-07	19375.6	19177.71
Crypto	ETH-USD	2020-12-08	591.53	555.03
Crypto	BTC-USD	2020-12-08	19177.08	18329
Crypto	ETH-USD	2020-12-09	554.8	573.132
Crypto	BTC-USD	2020-12-09	18316.22	18546.55
Crypto	ETH-USD	2020-12-10	573.116	559.02
Crypto	BTC-USD	2020-12-10	18546.55	18253.44
Crypto	ETH-USD	2020-12-11	559.17	544.93
Crypto	BTC-USD	2020-12-11	18252.05	18031.5
Crypto	ETH-USD	2020-12-12	544.51	567.947
Crypto	BTC-USD	2020-12-12	18031.23	18821.28
Crypto	ETH-USD	2020-12-13	568.07	591.1
Crypto	BTC-USD	2020-12-13	18814.4	19166.65
Crypto	ETH-USD	2020-12-14	590.45	586.39
Crypto	BTC-USD	2020-12-14	19166.65	19272.37
Crypto	ETH-USD	2020-12-15	586.4	588.636
Crypto	BTC-USD	2020-12-15	19275.32	19444.6
Crypto	ETH-USD	2020-12-16	589.08	637.155
Crypto	BTC-USD	2020-12-16	19443.19	21360.98
Crypto	ETH-USD	2020-12-17	636.16	641.74
Crypto	BTC-USD	2020-12-17	21360.5	22826.48
Crypto	ETH-USD	2020-12-18	643.26	654.19
Crypto	BTC-USD	2020-12-18	22829.9	23137.76
Crypto	ETH-USD	2020-12-19	654.66	658.96
Crypto	BTC-USD	2020-12-19	23124	23849.99
Crypto	ETH-USD	2020-12-20	658.8	638.089
Crypto	BTC-USD	2020-12-20	23801	23476.51
Crypto	ETH-USD	2020-12-21	638.19	608.07
Crypto	BTC-USD	2020-12-21	23470.85	22729.4
Crypto	ETH-USD	2020-12-22	608.29	637.46
Crypto	BTC-USD	2020-12-22	22712.281776	23823.27
Crypto	ETH-USD	2020-12-23	637.46	585.5
Crypto	BTC-USD	2020-12-23	23824.13	23228.35
Crypto	ETH-USD	2020-12-24	585.37	612.27
Crypto	BTC-USD	2020-12-24	23226.18	23717.96
Crypto	ETH-USD	2020-12-25	612.25	626.75
Crypto	BTC-USD	2020-12-25	23743.467132	24720.828876
Crypto	ETH-USD	2020-12-26	626.71	637.217
Crypto	BTC-USD	2020-12-26	24720.0882	26475.35
Crypto	ETH-USD	2020-12-27	636.85	684.12
